protein1 protein2 combined_score
208964.PA0070 208964.PA4245 195
208964.PA0070 208964.PA3600 161
208964.PA0070 208964.PA4935 195
208964.PA0070 208964.PA4432 195
208964.PA0070 208964.PA4249 195
208964.PA0070 208964.PA2970 195
208964.PA0070 208964.PA4261 195
208964.PA0070 208964.PA1981 171
208964.PA0070 208964.PA4244 195
208964.PA0070 208964.PA4257 195
208964.PA0070 208964.PA4253 195
208964.PA0070 208964.PA5316 195
208964.PA0070 208964.PA3422 161
208964.PA0070 208964.PA5315 195
208964.PA0070 208964.PA4252 195
208964.PA0070 208964.PA4242 161
208964.PA0070 208964.PA1812 266
208964.PA0070 208964.PA4264 195
208964.PA0070 208964.PA4568 195
208964.PA0070 208964.PA4260 195
208964.PA0070 208964.PA4056 150
208964.PA0070 208964.PA3647 155
208964.PA0070 208964.PA4246 195
208964.PA0070 208964.PA4741 195
208964.PA0070 208964.PA4259 195
208964.PA0070 208964.PA0579 195
208964.PA0070 208964.PA4947 239
208964.PA0070 208964.PA1974 211
208964.PA0070 208964.PA2461 171
208964.PA0070 208964.PA4258 195
208964.PA0070 208964.PA4239 195
208964.PA0070 208964.PA4251 195
208964.PA0070 208964.PA3619 373
208964.PA0070 208964.PA4256 195
208964.PA0070 208964.PA4254 195
208964.PA0070 208964.PA4250 198
208964.PA0070 208964.PA3656 195
208964.PA0070 208964.PA4255 195
208964.PA0070 208964.PA2742 195
208964.PA0070 208964.PA3082 161
208964.PA0070 208964.PA4247 195
208964.PA0070 208964.PA3648 156
208964.PA0070 208964.PA3742 195
208964.PA0070 208964.PA4567 195
208964.PA0070 208964.PA4702 171
208964.PA0070 208964.PA3923 161
208964.PA0070 208964.PA4268 195
208964.PA0070 208964.PA4563 195
208964.PA0071 208964.PA0183 433
208964.PA0071 208964.PA0670 151
208964.PA0071 208964.PA0031 433
208964.PA0071 208964.PA2333 433
208964.PA0071 208964.PA0923 151
208964.PA0072 208964.PA3421 398
208964.PA0072 208964.PA3081 398
208964.PA0072 208964.PA4594 478
208964.PA0072 208964.PA4668 163
208964.PA0072 208964.PA0383 398
208964.PA0072 208964.PA0073 478
208964.PA0072 208964.PA2390 562
208964.PA0072 208964.PA4064 478
208964.PA0072 208964.PA2614 398
208964.PA0072 208964.PA2987 478
208964.PA0072 208964.PA3922 398
208964.PA0072 208964.PA3691 273
208964.PA0073 208964.PA4374 252
208964.PA0073 208964.PA0425 252
208964.PA0073 208964.PA3404 227
208964.PA0073 208964.PA4065 431
208964.PA0073 208964.PA0427 190
208964.PA0073 208964.PA1435 252
208964.PA0073 208964.PA2493 252
208964.PA0073 208964.PA1875 227
208964.PA0073 208964.PA2986 478
208964.PA0073 208964.PA0072 478
208964.PA0073 208964.PA2614 339
208964.PA0073 208964.PA0157 252
208964.PA0073 208964.PA4599 252
208964.PA0073 208964.PA4974 227
208964.PA0073 208964.PA4144 227
208964.PA0073 208964.PA1238 190
208964.PA0073 208964.PA4056 169
208964.PA0073 208964.PA1248 227
208964.PA0073 208964.PA4597 190
208964.PA0073 208964.PA2525 190
208964.PA0073 208964.PA2495 190
208964.PA0073 208964.PA4593 446
208964.PA0073 208964.PA1812 154
208964.PA0073 208964.PA3922 339
208964.PA0073 208964.PA3894 190
208964.PA0073 208964.PA2389 252
208964.PA0073 208964.PA4592 189
208964.PA0073 208964.PA3521 190
208964.PA0073 208964.PA2522 190
208964.PA0073 208964.PA3081 339
208964.PA0073 208964.PA2521 252
208964.PA0073 208964.PA0156 252
208964.PA0073 208964.PA4208 190
208964.PA0073 208964.PA3421 339
208964.PA0073 208964.PA3523 252
208964.PA0073 208964.PA2988 478
208964.PA0073 208964.PA4206 252
208964.PA0073 208964.PA2390 431
208964.PA0073 208964.PA2019 252
208964.PA0073 208964.PA0383 339
208964.PA0073 208964.PA2837 190
208964.PA0073 208964.PA5158 190
208964.PA0073 208964.PA2528 252
208964.PA0073 208964.PA3677 252
208964.PA0073 208964.PA2391 190
208964.PA0074 208964.PA1243 360
208964.PA0074 208964.PA3346 153
208964.PA0074 208964.PA1992 243
208964.PA0074 208964.PA2583 153
208964.PA0074 208964.PA5017 169
208964.PA0074 208964.PA4036 151
208964.PA0074 208964.PA1054 161
208964.PA0074 208964.PA0081 424
208964.PA0074 208964.PA1976 152
208964.PA0074 208964.PA3271 239
208964.PA0074 208964.PA3946 153
208964.PA0074 208964.PA1670 181
208964.PA0074 208964.PA2786 152
208964.PA0074 208964.PA0075 181
208964.PA0074 208964.PA1717 502
208964.PA0074 208964.PA4112 151
208964.PA0074 208964.PA1782 181
208964.PA0074 208964.PA0928 153
208964.PA0074 208964.PA3761 177
208964.PA0074 208964.PA2177 152
208964.PA0074 208964.PA0469 181
208964.PA0074 208964.PA3560 177
208964.PA0074 208964.PA1665 429
208964.PA0074 208964.PA0600 171
208964.PA0075 208964.PA2442 304
208964.PA0075 208964.PA5418 311
208964.PA0075 208964.PA3415 158
208964.PA0075 208964.PA2535 214
208964.PA0075 208964.PA0074 181
